_id	faction	letter	name	url	vote_stats.absent	vote_stats.abstain	vote_stats.no	vote_stats.yes
50e111f6052d3f3584b2facc	ЕР	Ш	Шаккум Мартин Люцианович	/?convocation=AAAAAAA6&deputy=99100654	612		21	944
50e111f6052d3f3584b2fa7d	СР	С	Селиванов Юрий Алексеевич	/?convocation=AAAAAAA6&deputy=99111940	724	8	90	755
50e111f6052d3f3584b2fa27	ЕР	Н	Нарышкин Сергей Евгеньевич	/?convocation=AAAAAAA6&deputy=99111908	602	1	37	937
50e1121d052d3f3584b2fae8	ЕР	К	Кнышов Алексей Владимирович	/?convocation=AAAAAAA6&deputy=99111857	431	1	40	637
50e111f6052d3f3584b2fa14	ЕР	М	Махмутов Анвар Анасович	/?convocation=AAAAAAA6&deputy=99111896	614	1	24	938
50e111f6052d3f3584b2fa8f	КПРФ	С	Сокол Святослав Михайлович	/?convocation=AAAAAAA6&deputy=99105743	581	1	106	889
50e111f6052d3f3584b2f9c7	ЕР	К	Карелова Галина Николаевна	/?convocation=AAAAAAA6&deputy=99102729	603		30	944
50e111f5052d3f3584b2f95c	ЕР	В	Валенчук Олег Дорианович	/?convocation=AAAAAAA6&deputy=99110927	601	1	30	945
50e111f6052d3f3584b2fa3f	СР	П	Парахин Владимир Вячеславович	/?convocation=AAAAAAA6&deputy=99111986	576	2	87	912
50e111f5052d3f3584b2f94b	КПРФ	Б	Бифов Анатолий Жамалович	/?convocation=AAAAAAA6&deputy=99111795	714		78	785
50e111f6052d3f3584b2fab9	ЕР	Х	Хамчиев Белан Багаудинович	/?convocation=AAAAAAA6&deputy=99111073	607		34	936
50e111f6052d3f3584b2fa13	КПРФ	М	Мархаев Вячеслав Михайлович	/?convocation=AAAAAAA6&deputy=99111895	667	1	105	804
50e111f6052d3f3584b2fa60	ЕР	Р	Ресин Владимир Иосифович	/?convocation=AAAAAAA6&deputy=99111931	584	1	48	944
50e11212052d3f3584b2fae6	ЕР	В	Воробьёв Андрей Юрьевич	/?convocation=AAAAAAA6&deputy=99110068	478		30	655
50e111f5052d3f3584b2f95f	ЕР	В	Василенко Александр Борисович	/?convocation=AAAAAAA6&deputy=99112012	604		33	940
50e111f5052d3f3584b2f98c	ЕР	Д	Демченко Иван Иванович	/?convocation=AAAAAAA6&deputy=99110949	571	1	62	943
50e111f6052d3f3584b2fac2	СР	Ч	Чепа Алексей Васильевич	/?convocation=AAAAAAA6&deputy=99111967	570		103	904
50e111f6052d3f3584b2f9ba	ЕР	И	Исаев Юрий Олегович	/?convocation=AAAAAAA6&deputy=99110973	602	1	31	943
50e1122c052d3f3584b2fae9	ЕР	Б	Бочаров Андрей Иванович	/?convocation=AAAAAAA6&deputy=99110923	414		34	581
50e111f6052d3f3584b2f9d7	ЕР	К	Колесников Олег Алексеевич	/?convocation=AAAAAAA6&deputy=99110985	610	2	27	938
50e111f5052d3f3584b2f978	ЕР	Г	Герасимова Надежда Васильевна	/?convocation=AAAAAAA6&deputy=99110937	619		22	936
50e111f6052d3f3584b2fabe	ЕР	Х	Хор Глеб Яковлевич	/?convocation=AAAAAAA6&deputy=99110089	595		42	940
50e111f6052d3f3584b2fa68	ЛДПР	Р	Рохмистров Максим Станиславович	/?convocation=AAAAAAA6&deputy=99109755	779		12	786
50e111f6052d3f3584b2fa06	ЕР	М	Макаров Андрей Михайлович	/?convocation=AAAAAAA6&deputy=99100248	607	2	36	932
50e111f6052d3f3584b2f9b2	ЛДПР	И	Иванов Сергей Владимирович	/?convocation=AAAAAAA6&deputy=99100522	824	1	16	736
50e111f5052d3f3584b2f998	КПРФ	Е	Езерский Николай Николаевич	/?convocation=AAAAAAA6&deputy=99110020	596		96	885
50e111f6052d3f3584b2fa56	КПРФ	П	Потомский Вадим Владимирович	/?convocation=AAAAAAA6&deputy=99111928	684	1	86	806
50e111f6052d3f3584b2fa87	ЛДПР	С	Сироткин Сергей Никанорович	/?convocation=AAAAAAA6&deputy=99110038	795		12	770
