href	name	url	color	vote_result	votes
/vote/78830	(первое чтение) О проекте федерального закона № 14871-6 "О внесении изменений в Федеральный закон "О рыболовстве и сохранении водных биологических ресурсов" (в части передачи органам исполнительной власти субъектов Российской Федерации полномочий по выдаче разрешений на добычу (вылов) водных биоресурсов для осуществления промышленного рыболовства в пресноводных водных объектах, полностью расположенных на территории субъекта Российской Федерации)	http://vote.duma.gov.ru/vote/78830	red	Отклонен(не набран кворум)	За: 59, Против: 0, Воздержалось: 0
/vote/78832	(первое чтение) О проекте федерального закона № 130186-5 "О внесении изменений в Федеральный закон "О рекламе" (в части рекламы алкогольной продукции, пива и напитков, изготавливаемых на его основе)	http://vote.duma.gov.ru/vote/78832	red	Отклонен(не набран кворум)	За: 59, Против: 0, Воздержалось: 0
/vote/78834	(первое чтение) О проекте федерального закона № 216623-5 "О внесении изменений в статью 22 Федерального закона "О рекламе" в части запрета рекламы пива в теле- и радиопрограммах, при кино- и видеообслуживании" (в части запрета рекламы пива в теле- и радиопрограммах, при кино- и видеообслуживании)	http://vote.duma.gov.ru/vote/78834	red	Отклонен(не набран кворум)	За: 64, Против: 0, Воздержалось: 0
/vote/78836	(первое чтение) О проекте федерального закона № 580408-5 "О внесении изменений в статьи 21 и 22 Федерального закона "О рекламе" (в части рекламы алкогольной продукции, пива и напитков, изготавливаемых на его основе)	http://vote.duma.gov.ru/vote/78836	red	Отклонен(не набран кворум)	За: 58, Против: 0, Воздержалось: 0
/vote/78838	Протокольное поручение деп. Рябова	http://vote.duma.gov.ru/vote/78838	red	Отклонен(не набран кворум)	За: 141, Против: 0, Воздержалось: 0
/vote/78790	(за основу) О проекте порядка работы Государственной Думы на 16 октября 2012 года	http://vote.duma.gov.ru/vote/78790	green	Принят|За: 361 чел (80%)	Против: 0, Воздержалось: 1
/vote/78794	О проекте постановления Государственной Думы № 151186-6 "О досрочном прекращении полномочий депутата Государственной Думы Федерального Собрания Российской Федерации Бочарова Андрея Ивановича"	http://vote.duma.gov.ru/vote/78794	green	Принят|За: 432 чел (96%)	Против: 0, Воздержалось: 1
/vote/78796	(первое чтение) О проекте федерального закона № 131826-6 "О внесении изменений в Федеральный закон "Об организации и о проведении ХХII Олимпийских зимних игр и ХI Паралимпийских зимних игр 2014 года в городе Сочи, развитии города Сочи как горноклиматического курорта и внесении изменений в отдельные законодательные акты Российской Федерации" и Налоговый кодекс Российской Федерации" (об упрощении процедур выдачи виз для временного персонала, принимающего участие в подготовке и проведении XXII Олимпийских зимних игр и XI Паралимпийских зимних игр 2014 года в городе Сочи)	http://vote.duma.gov.ru/vote/78796	green	Принят|За: 386 чел (86%)	Против: 0, Воздержалось: 0
/vote/78798	(первое чтение) О проекте федерального закона № 88331-6 "О внесении изменений в Трудовой кодекс Российской Федерации и статью 1 Федерального закона "Об электронной подписи" (об особенностях правового регулирования труда работников, выполняющих работу вне места расположения работодателя)	http://vote.duma.gov.ru/vote/78798	green	Принят|За: 292 чел (65%)	Против: 0, Воздержалось: 0
/vote/78800	(первое чтение) О проекте федерального закона № 142657-6 "О внесении изменения в статью 193 части второй Налогового кодекса Российской Федерации" (об индексации ставок акцизов)	http://vote.duma.gov.ru/vote/78800	green	Принят|За: 240 чел (53%)	Против: 141, Воздержалось: 0
/vote/78802	(первое чтение) О проекте федерального закона № 123321-6 "О внесении изменений в главу 26 части второй Налогового кодекса Российской Федерации" (о порядке налогообложения метана угольных пластов)	http://vote.duma.gov.ru/vote/78802	green	Принят|За: 441 чел (98%)	Против: 0, Воздержалось: 0
/vote/78804	(первое чтение) О проекте федерального закона № 115132-6 "О внесении изменений в статью 27-5-3 Федерального закона "О рынке ценных бумаг" и часть вторую Налогового кодекса Российской Федерации" (в части уточнения порядка налогообложения операций с ценными бумагами)	http://vote.duma.gov.ru/vote/78804	green	Принят|За: 240 чел (53%)	Против: 1, Воздержалось: 0
/vote/78806	(первое чтение) О проекте федерального закона № 64159-6 "О внесении изменений в части первую и вторую Налогового кодекса Российской Федерации и некоторые другие законодательные акты Российской Федерации, а также о признании утратившими силу отдельных положений законодательных актов Российской Федерации" (в части совершенствования налогового администрирования)	http://vote.duma.gov.ru/vote/78806	green	Принят|За: 387 чел (86%)	Против: 0, Воздержалось: 0
/vote/78808	(первое чтение) О проекте федерального закона № 87814-6 "О внесении изменений в отдельные законодательные акты Российской Федерации" (о регулировании деятельности организации либо индивидуального предпринимателя, предоставляющих услуги по приему и передаче заказов на перевозку пассажиров и багажа легковым такси)	http://vote.duma.gov.ru/vote/78808	red	Отклонен(не набран кворум)	За: 104, Против: 0, Воздержалось: 0
/vote/78810	(первое чтение) О проекте федерального закона № 664-6 "О признании недействующим на территории Российской Федерации Закона СССР "Об особых гарантиях занятости и социальной поддержки военнослужащих, уволенных со службы без права на пенсию"	http://vote.duma.gov.ru/vote/78810	red	Отклонен(не набран кворум)	За: 1, Против: 0, Воздержалось: 0
/vote/78812	(первое чтение) О проекте федерального закона № 510485-5 "О внесении изменений в статью 17 Федерального закона "О свободе совести и о религиозных объединениях" и статью 5.26 Кодекса Российской Федерации об административных правонарушениях" (в части регулирования порядка распространения религиозной литературы лицами, не являющимися участниками религиозных организаций, либо лицами, не уполномоченными религиозными организациями)	http://vote.duma.gov.ru/vote/78812	red	Отклонен(не набран кворум)	За: 56, Против: 2, Воздержалось: 0
/vote/78735	(за основу) О проекте порядка работы Государственной Думы на 28 сентября 2012 года	http://vote.duma.gov.ru/vote/78735	green	Принят|За: 387 чел (86%)	Против: 0, Воздержалось: 1
/vote/78737	(Предложение деп. Романова снять п. 7) О проекте порядка работы Государственной Думы на 28 сентября 2012 года	http://vote.duma.gov.ru/vote/78737	red	Отклонен(не набран кворум)	За: 151, Против: 148, Воздержалось: 1
/vote/78739	О проекте постановления Государственной Думы № 141912-6 "О календаре рассмотрения вопросов Государственной Думой с 16 по 26 октября 2012 года"	http://vote.duma.gov.ru/vote/78739	green	Принят|За: 369 чел (82%)	Против: 0, Воздержалось: 0
/vote/78741	О проекте постановления Государственной Думы № 142626-6 "Об освобождении депутата Государственной Думы Крупенникова Владимира Александровича от должности заместителя председателя Комитета Государственной Думы по культуре"	http://vote.duma.gov.ru/vote/78741	green	Принят|За: 375 чел (83%)	Против: 0, Воздержалось: 0
/vote/78743	О проекте постановления Государственной Думы № 142634-6 "Об изменениях в составах некоторых комитетов Государственной Думы" (о депутатах Д.Г.Волчеке, В.Е.Деньгине, В.А.Крупенникове, А.В.Митрофанове, О.А.Нилове, О.В.Тимофеевой, А.В.Туманове)	http://vote.duma.gov.ru/vote/78743	green	Принят|За: 379 чел (84%)	Против: 0, Воздержалось: 0
