Коломенский педагогический институт	1
Российский государственный педагогический университет им. А.И. Герцена	1
Российско-канадский учебный центр по переподготовке кадров для ТЭК на базе Московского экономико-энерге	1
Академия МВД СССР	7
Высшая школа КГБ СССР им. Ф.Э. Дзержинского	4
Волгоградский государственный педагогический институт	1
Пензенский государственный педагогический университет им. В.Г.Белинского	1
Государственный университет - Высшая школа экономики, Нижегородский филиал	1
Ростовский-на-Дону институт инженеров железнодорожного транспорта	1
Брянский государственный педагогический  институт им. академика И.Г. Петровского	1
Саратовский институт механизации сельского хозяйства им. М.И. Калинина	1
Академический правовой университет при Институте государства и права Российской Академии наук	1
Волгоградский политехнический институт	1
Красноярский филиал Иркутского института народного хозяйства	1
Прокопьевский горный техникум	1
факультет организаторов промышленного производства Уральского политехнического института им. С.М. Киров	1
Военная академия им. М.В. Фрунзе	7
Ленинградский государственный университет им. А.А. Жданова	7
Финансовая академия при Правительстве Российской Федерации	3
Московский государственный институт международных отношений МИД СССР	2
Дальневосточный государственный университет	1
Новосибирский инженерно-строительный институт им. В.В. Куйбышева	2
Новосибирское высшее военно-политическое общевойсковое училище им. 60-летия Великого Октября	1
Государственная академия инноваций	1
Международный  бухгалтерский университет	1
Саратовский юридический институт им. Д.И. Курского	1
Московский институт радиотехники, электроники и автоматики	2
Саратовская высшая партийная школа	2
Серноводский сельскохозяйственный техникум	1
Академия народного хозяйства при Совете Министров СССР	1
Северо-Осетинский государственный университет им. К.Л. Хетагурова	2
Якутский государственный университет	1
Хакасский государственный университет им. Н.Ф. Катанова	1
Златоустовский техникум советской торговли	1
Ставропольская государственная сельскохозяйственная академия	1
Юридический институт Министерства внутренних дел Российской Федерации	1
Военная академия Генерального штаба ВС РФ	2
Санкт-Петербургская академия управления  и экономики	2
Новосибирская межобластная высшая партийная школа	1
Новосибирский техникум физической культуры	1
Орджоникидзевское военное училище им. С.М. Кирова МООП РСФСР	1
Киевский торгово-экономический институт	1
Тартуский государственный университет	1
Ставропольский сельскохозяйственный институт	1
Вечерний университет марксизма-ленинизма при Казанском гарнизонном Доме офицеров	1
Куйбышевский политехнический институт им. В.В. Куйбышева	2
Ленинградский государственный областной университет им. А.С. Пушкина	2
Военная академия Генерального штаба Вооруженных Cил СССР  им. К.Е. Ворошилова	4
Одесская государственная морская академия	1
Саратовское высшее военное командное училище им. Героя Советского Союза генерал-майора А.И. Лизюкова	1
Новосибирская государственная академия экономики и управления	1
Красноярский политехнический институт	1
Ростовский-на-Дону государственный медицинский институт	1
Ташкентская высшая школа МВД СССР	1
Московский институт-интернат для инвалидов с нарушением опорно-двигательной системы	1
Институт управления, экономики, права и информатики	1
Нижегородское областное училище олимпийского резерва № 1	1
Сибирская академия государственной службы	2
Астраханский государственный медицинский институт им. А.В. Луначарского	1
Астраханский государственный технический университет	1
Пензенский сельскохозяйственный институт	1
Академия русского балета им. А.Я. Вагановой	1
Лисинский лесной техникум Главлесхоза РСФСР	1
Казанский инженерно-строительный институт	1
Томский государственный университет	1
Ленинградский институт инженеров железнодорожного транспорта им.академика В.Н. Образцова	1
Казанский государственный медицинский университет	2
Московский инженерно-физический институт	2
Украинская сельскохозяйственная академия	1
Костромской технологический техникум Роспотребсоюза	1
Рижское высшее военное инженерно-авиационное училище им. Я. Алксниса	1
Уральский политехникум Министерства черной металлургии СССР	1
Курская государственная сельскохозяйственная академия им. профессора И.И. Иванова	1
Ленинградский финансово-экономический институт им.Н.А. Вознесенского	2
Калининский политехнический институт	1
Кубанский медицинский институт им. Красной Армии	1
Таврический национальный университет им.В.И.Вернадского	1
Московский горный институт	3
Московский институт стали и сплавов	1
Ульяновская государственная сельскохозяйственная академия	1
Центр подготовки менеджеров при Московском институте народного хозяйства им. Г.В. Плеханова	1
Курсы офицеров-политработников Министерства обороны СССР	1
Санкт-Петербургский государственный технический университет	1
Московский государственный университет коммерции	1
Московский институт стали им. И.В.Сталина	1
Дагестанский сельскохозяйственный институт	1
Свердловская высшая партийная школа	1
Всесоюзный государственный институт кинематографии	2
Комсомольский-на-Амуре вечерний политехнический институт	1
Институт профессиональной переподготовки и повышения квалификации Уральской академии государственной сл	1
Казанский государственный педагогический институт	1
Всесоюзный заочный институт инженеров железнодорожного транспорта	2
Томский государственный университет им. В.В. Куйбышева	2
Московский государственный университет им. М.В. Ломоносова	26
Алтайский государственный аграрный университет	1
Новосибирский государственный медицинский институт	1
Саратовский политехнический институт	2
Всероссийский заочный финансово-экономический институт	3
Марийский государственный педагогический институт им. Н.К. Крупской	1
Архангельский лесотехнический институт им. В.В. Куйбышева	1
Омский политехнический институт	1
Ульяновский государственный педагогический институт им. И.Н. Ульянова	2
Саратовский авиационный техникум	1
Высшая школа КГБ при Совете Министров СССР им. Ф.Э. Дзержинского	1
Омская высшая школа милиции МВД СССР	1
Институт современного права и экономики (г.Москва)	1
Московский институт электронного машиностроения	1
Белгородский университет потребительской кооперации	1
Кемеровский государственный университет	1
Московский государственный институт международных отношений (Университет) МИД России	1
Северо-Кавказский государственный технический университет	1
Ростовский государственный музыкально-педагогический институт	1
Уральский политехнический институт им. С.М. Кирова	6
Сочинское педагогическое училище	1
Санкт-Петербургская государственная инженерно-экономическая академия	1
Черноморское высшее военно-морское училище им. П.С. Нахимова	1
Московский институт нефтехимической и газовой промышленности им. И.М. Губкина	1
Ленинградский электротехнический институт связи им. проф. М.А. Бонч-Бруевича	2
Казанский ветеринарный институт им.Н.Э. Баумана	1
Волгоградский инженерно-строительный институт	1
Московский государственный открытый педагогический университет	1
Высшая школа международного бизнеса при Академии народного хозяйства при Правительстве Российской Федер	1
Всесоюзный заочный инженерно-строительный институт	1
Астраханский государственный педагогический институт им. С.М. Кирова	1
Уфимский государственный нефтяной технический университет	1
Ростовское высшее командно-инженерное училище им. Главного маршала артиллерии М.И. Неделина	2
Северо-Западный заочный политехнический институт	4
Российская академия государственной службы при Президенте Российской Федерации	35
Сибирский металлургический институт им. С. Орджоникидзе	2
Московский государственный институт культуры (Тамбовский филиал)	1
Уральский институт бизнеса, г.Челябинск	1
Казахский институт физической культуры	1
Академия Федеральной службы безопасности Российской Федерации	1
Рязанское высшее военное командное училище связи им. Маршала Советского Союза М.В. Захарова	1
Ульяновский сельскохозяйственный институт	1
Горский сельскохозяйственный институт	1
Серпуховское высшее военное командно-инженерное  училище ракетных войск  им. Ленинского комсомола	1
Дагестанский государственный университет им. В.И. Ленина	2
Кубанский сельскохозяйственный институт	1
Высшая юридическая заочная школа МВД СССР	1
Казанский государственный университет им. В.И. Ульянова - Ленина	4
Ленинградский горный институт им.Г.В. Плеханова	1
Хабаровская высшая партийная школа	2
Российская медицинская академия последипломного образования	2
Всесоюзный юридический заочный институт	7
Благовещенский сельскохозяйственный  институт	1
Тюменский государственный университет	1
Международный институт менеджмента &quot;ЛИНК&quot;	1
Ленинградское высшее командное училище железнодорожных войск и военных сообщений им. М.В. Фрунзе	1
Новочеркасская государственная мелиоративная академия	1
Московский государственный университет культуры и искусств	1
Русский университет инноваций	1
Ленинградская лесотехническая академия им. С.М.Кирова	1
Иркутский сельскохозяйственный институт	2
Челябинский государственный университет	2
Куйбышевский педагогический институт им. В.В. Куйбышева	1
Центр подготовки менеджеров Российской экономической академии им. Г.В. Плеханова	1
Серпуховское высшее командно-инженерное училище им. Ленинского комсомола	1
Московский институт народного хозяйства им. Г.В. Плеханова	2
Всесоюзный заочный электротехнический институт связи	1
Ростовский-на-Дону институт сельскохозяйственного машиностроения	2
Государственный Центральный ордена Ленина институт физической культуры	1
Омский государственный педагогический институт им. А.М. Горького	1
Московский институт экономики, менеджмента и права	1
Восточно-Сибирский технологический институт	2
